[2026-06-12T16:00:49+00:00] auto_run_after_prepare started, waiting for prepare to finish...
[2026-06-12T16:00:49+00:00] prepare still running, sleep 5min...
[2026-06-12T16:05:49+00:00] prepare still running, sleep 5min...
[2026-06-12T16:10:49+00:00] prepare still running, sleep 5min...
[2026-06-12T16:15:49+00:00] prepare still running, sleep 5min...
[2026-06-12T16:20:49+00:00] prepare still running, sleep 5min...
[2026-06-12T16:25:49+00:00] prepare still running, sleep 5min...
[2026-06-12T16:30:49+00:00] prepare still running, sleep 5min...
[2026-06-12T16:35:49+00:00] prepare still running, sleep 5min...
[2026-06-12T16:40:49+00:00] prepare still running, sleep 5min...
[2026-06-12T16:45:49+00:00] prepare still running, sleep 5min...
[2026-06-12T16:50:49+00:00] prepare still running, sleep 5min...
[2026-06-12T16:55:50+00:00] prepare still running, sleep 5min...
[2026-06-12T17:00:50+00:00] prepare still running, sleep 5min...
[2026-06-12T17:05:50+00:00] prepare still running, sleep 5min...
[2026-06-12T17:10:50+00:00] prepare still running, sleep 5min...
[2026-06-12T17:15:50+00:00] prepare still running, sleep 5min...
[2026-06-12T17:20:50+00:00] prepare still running, sleep 5min...
[2026-06-12T17:25:50+00:00] prepare still running, sleep 5min...
[2026-06-12T17:30:50+00:00] prepare still running, sleep 5min...
[2026-06-12T17:35:50+00:00] prepare still running, sleep 5min...
[2026-06-12T17:40:50+00:00] prepare still running, sleep 5min...
[2026-06-12T17:45:50+00:00] prepare still running, sleep 5min...
[2026-06-12T17:50:50+00:00] prepare still running, sleep 5min...
[2026-06-12T17:55:50+00:00] prepare still running, sleep 5min...
[2026-06-12T18:00:50+00:00] prepare still running, sleep 5min...
[2026-06-12T18:05:50+00:00] prepare still running, sleep 5min...
[2026-06-12T18:10:50+00:00] prepare still running, sleep 5min...
[2026-06-12T18:15:50+00:00] prepare still running, sleep 5min...
[2026-06-12T18:20:50+00:00] prepare still running, sleep 5min...
[2026-06-12T18:25:50+00:00] prepare still running, sleep 5min...
[2026-06-12T18:30:50+00:00] prepare still running, sleep 5min...
[2026-06-12T18:35:50+00:00] prepare still running, sleep 5min...
[2026-06-12T18:40:50+00:00] prepare still running, sleep 5min...
[2026-06-12T18:45:50+00:00] prepare still running, sleep 5min...
[2026-06-12T18:50:50+00:00] prepare still running, sleep 5min...
[2026-06-12T18:55:50+00:00] prepare still running, sleep 5min...
[2026-06-12T19:00:50+00:00] prepare still running, sleep 5min...
[2026-06-12T19:05:50+00:00] prepare still running, sleep 5min...
[2026-06-12T19:10:50+00:00] prepare still running, sleep 5min...
[2026-06-12T19:15:50+00:00] prepare still running, sleep 5min...
[2026-06-12T19:20:50+00:00] prepare still running, sleep 5min...
[2026-06-12T19:25:50+00:00] prepare still running, sleep 5min...
[2026-06-12T19:30:50+00:00] prepare still running, sleep 5min...
[2026-06-12T19:35:50+00:00] prepare still running, sleep 5min...
[2026-06-12T19:40:50+00:00] prepare still running, sleep 5min...
[2026-06-12T19:45:50+00:00] prepare still running, sleep 5min...
[2026-06-12T19:50:50+00:00] prepare still running, sleep 5min...
[2026-06-12T19:55:50+00:00] prepare still running, sleep 5min...
[2026-06-12T20:00:50+00:00] prepare finished, sleep 60s buffer then start run...
[2026-06-12T20:01:50+00:00] run started, pid=208532
