timestamp	workload	threads	qps	tps	p95_ms	p99_ms_approx	log_file
2026-06-12T20:06:53+00:00	oltp_read_write	1	201.69	10.08	112.67	116.802	/home/ec2-user/tidb_test/results/20260612_200150/oltp_read_write_1t.log
2026-06-12T20:12:24+00:00	oltp_read_write	2	544.92	27.25	81.48	84.467	/home/ec2-user/tidb_test/results/20260612_200150/oltp_read_write_2t.log
2026-06-12T20:17:57+00:00	oltp_read_write	4	1082.75	54.15	84.47	87.564	/home/ec2-user/tidb_test/results/20260612_200150/oltp_read_write_4t.log
2026-06-12T20:23:29+00:00	oltp_read_write	8	2366.40	118.34	82.96	86.002	/home/ec2-user/tidb_test/results/20260612_200150/oltp_read_write_8t.log
2026-06-12T20:29:01+00:00	oltp_read_write	16	4757.88	237.93	81.48	86.002	/home/ec2-user/tidb_test/results/20260612_200150/oltp_read_write_16t.log
2026-06-12T20:34:33+00:00	oltp_read_write	32	8263.90	413.27	102.97	110.659	/home/ec2-user/tidb_test/results/20260612_200150/oltp_read_write_32t.log
2026-06-12T20:40:06+00:00	oltp_read_write	64	7875.34	393.91	215.44	235.740	/home/ec2-user/tidb_test/results/20260612_200150/oltp_read_write_64t.log
2026-06-12T20:45:39+00:00	oltp_read_write	128	7877.20	394.15	502.20	657.933	/home/ec2-user/tidb_test/results/20260612_200150/oltp_read_write_128t.log
2026-06-12T20:51:15+00:00	oltp_read_write	256	7937.08	397.44	960.30	1032.013	/home/ec2-user/tidb_test/results/20260612_200150/oltp_read_write_256t.log
2026-06-12T20:56:55+00:00	oltp_read_write	512	7857.67	393.96	2009.23	2585.308	/home/ec2-user/tidb_test/results/20260612_200150/oltp_read_write_512t.log
2026-06-12T21:02:49+00:00	oltp_read_write	1024	8342.79	419.21	5033.35	8955.744	/home/ec2-user/tidb_test/results/20260612_200150/oltp_read_write_1024t.log
2026-06-12T21:09:09+00:00	oltp_read_write	2048	8146.09	411.14	10917.50	14562.816	/home/ec2-user/tidb_test/results/20260612_200150/oltp_read_write_2048t.log
2026-06-12T21:14:40+00:00	oltp_read_only	1	268.41	16.78	66.84	70.548	/home/ec2-user/tidb_test/results/20260612_200150/oltp_read_only_1t.log
2026-06-12T21:20:11+00:00	oltp_read_only	2	636.13	39.76	65.65	68.053	/home/ec2-user/tidb_test/results/20260612_200150/oltp_read_only_2t.log
2026-06-12T21:25:42+00:00	oltp_read_only	4	1409.61	88.11	59.99	62.193	/home/ec2-user/tidb_test/results/20260612_200150/oltp_read_only_4t.log
2026-06-12T21:31:14+00:00	oltp_read_only	8	2782.31	173.91	62.19	66.838	/home/ec2-user/tidb_test/results/20260612_200150/oltp_read_only_8t.log
2026-06-12T21:36:45+00:00	oltp_read_only	16	5561.72	347.64	62.19	64.474	/home/ec2-user/tidb_test/results/20260612_200150/oltp_read_only_16t.log
